Apartment_code,project_id,Project URL,project_name_eng,city_id_eng,region_id_eng,District_Residential_area_eng,allow_payment_by_cash,allow_payment_by_loan,project_latitude,project_longitude,publish_date,Construction_Completion_Percentage,sakani_beneficiary_price,non_sakani_beneficiary_price,apartment_area_meter,living_area,floor,bathroom_count,apartment_type_eng,number_of_rooms,master_bedroom_size,living_room_size,kitchen_size,guestroom_size,apartment_for_sakani_beneficiary,apartment_for_non_sakani_beneficiary,construction_status_eng
A00001,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,267922.798,330190,152.5,19.76,0,4,apartment,3,18.7,16,8.8,23,0,0,Not started - selling on the map
A00002,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,305695.5203,376638,174,21.92,3,4,apartment,3,18.7,13.6,8.8,15.6,0,0,Not started - selling on the map
A00003,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,305695.5203,376638,174,21.92,4,4,apartment,3,18.7,13.6,8.8,15.6,0,0,Not started - selling on the map
A00004,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,305695.5203,376638,174,21.92,5,4,apartment,3,18.7,13.6,8.8,15.6,0,0,Not started - selling on the map
A00005,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,305695.5203,376638,174,21.92,6,4,apartment,3,18.7,13.6,8.8,15.6,0,0,Not started - selling on the map
A00006,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,305695.5203,376638,174,21.92,7,4,apartment,3,18.7,13.6,8.8,15.6,0,0,Not started - selling on the map
A00007,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,219608.8508,299500,125,13.75,0,4,apartment,2,18.7,13.6,8.8,15.2,0,0,Not started - selling on the map
A00008,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,226987.7082,299500,129.2,13.75,1,4,apartment,2,18.7,13.6,8.8,15.6,0,0,Not started - selling on the map
A00009,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,237880.3072,299500,135.4,13.75,1,4,apartment,2,18.7,16,8.8,17.6,0,0,Not started - selling on the map
A00010,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,219608.8508,299500,125,13.75,1,4,apartment,2,18.7,13.6,8.8,15.2,0,0,Not started - selling on the map
A00011,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,237880.3072,299500,135.4,13.75,2,4,apartment,2,18.7,16,8.8,17.6,0,0,Not started - selling on the map
A00012,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,234542.2526,299500,133.5,13.75,2,4,apartment,2,18.7,16,8.8,17.2,0,0,Not started - selling on the map
A00013,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,219608.8508,299500,125,13.75,2,4,apartment,2,18.7,13.6,8.8,15.2,0,0,Not started - selling on the map
A00014,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,226987.7082,299500,129.2,13.75,3,4,apartment,2,18.7,13.6,8.8,15.6,0,0,Not started - selling on the map
A00015,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,237880.3072,299500,135.4,13.75,3,4,apartment,2,18.7,16,8.8,17.6,0,0,Not started - selling on the map
A00016,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,234542.2526,299500,133.5,13.75,3,4,apartment,2,18.7,16,8.8,17.2,0,0,Not started - selling on the map
A00017,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,219608.8508,299500,125,13.75,3,4,apartment,2,18.7,13.6,8.8,15.2,0,0,Not started - selling on the map
A00018,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,226987.7082,299500,129.2,13.75,4,4,apartment,2,18.7,13.6,8.8,15.6,0,0,Not started - selling on the map
A00019,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,237880.3072,299500,135.4,13.75,4,4,apartment,2,18.7,16,8.8,17.6,0,0,Not started - selling on the map
A00020,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,234542.2526,299500,133.5,13.75,4,4,apartment,2,18.7,16,8.8,17.2,0,0,Not started - selling on the map
A00021,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,219608.8508,299500,125,13.75,4,4,apartment,2,18.7,13.6,8.8,15.2,0,0,Not started - selling on the map
A00022,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,226987.7082,299500,129.2,13.75,5,4,apartment,2,18.7,13.6,8.8,15.6,0,0,Not started - selling on the map
A00023,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,237880.3072,299500,135.4,13.75,5,4,apartment,2,18.7,16,8.8,17.6,0,0,Not started - selling on the map
A00024,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,234542.2526,299500,133.5,13.75,5,4,apartment,2,18.7,16,8.8,17.2,0,0,Not started - selling on the map
A00025,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,219608.8508,299500,125,13.75,5,4,apartment,2,18.7,13.6,8.8,15.2,0,0,Not started - selling on the map
A00026,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,226987.7082,299500,129.2,13.75,6,4,apartment,2,18.7,13.6,8.8,15.6,0,0,Not started - selling on the map
A00027,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,237880.3072,299500,135.4,13.75,6,4,apartment,2,18.7,16,8.8,17.6,0,0,Not started - selling on the map
A00028,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,234542.2526,299500,133.5,13.75,6,4,apartment,2,18.7,16,8.8,17.2,0,0,Not started - selling on the map
A00029,77,https://sakani.sa/app/offplan-projects/77,Tabuk - Modern houses - Dora Tabuk,Tabuk,Tabuk,Al-Musayyaf,1,1,28.455361,36.51625,1/25/2021,0,305695.5203,419626,174,21.92,3,4,apartment,3,20.1,15,14.7,19.2,0,0,Not started - selling on the map
